grupo,url,tema,intencao,papel_atual,acao_recomendada,url_canonica_candidata,conteudo_a_preservar,conteudo_a_absorver,risco
Avaliação,assets/servico-avaliacao-preco-imoveis-litoral.html,Serviço avaliação,Página de serviço,Ativo comercial,MANTER,assets/servico-avaliacao-preco-imoveis-litoral.html,"Serviço, CTA, diferencial",–,BAIXO
Avaliação,blog/ptam-ia-avaliacao-mercadologica-2026.html,PTAM/avaliação,Método específico,Gap parcial,EXPANDIR,blog/ptam-ia-avaliacao-mercadologica-2026.html,"Metodologia PTAM, aplicação litoral",–,MÉDIO
Estrangeiro,blog/compra-imovel-litoral-estrangeiro-guia-passo-a-passo.html,Compra estrangeiro,Guia específico,Canônica preferencial,MANTER,blog/compra-imovel-litoral-estrangeiro-guia-passo-a-passo.html,"Passo a passo, documentos, visto",–,BAIXO
Estrangeiro,blog/atendimento-compradores-estrangeiros-litoral-2026.html,Atendimento estrangeiro,Foco operacional,Relacionado,MANTER,blog/atendimento-compradores-estrangeiros-litoral-2026.html,"Roteiro corretor, documentos",–,BAIXO
Estrangeiro,blog/como-funciona-aluguel-temporada-litoral-para-estrangeiros-2026.html,Aluguel estrangeiro,Documento temporada,Relacionado,ATUALIZAR,blog/como-funciona-aluguel-temporada-litoral-para-estrangeiros-2026.html,"Requisitos, documentação",–,MÉDIO
Herança,blog/compra-imovel-heranca-inventario-litoral-2026.html,Herança inventário,Conteúdo específico,Relacionado,MANTER,blog/compra-imovel-heranca-inventario-litoral-2026.html,"Cuidados, documentação básica",–,BAIXO
Herança,blog/compra-imovel-herdado-litoral-cuidados-2026.html,Imóvel herdado,Cuidados específicos,Relacionado,MANTER,blog/compra-imovel-herdado-litoral-cuidados-2026.html,"Riscos, passos iniciais",–,BAIXO
Herança,blog/documentacao-imovel-heranca-litoral-passos-2026.html,Documentação herança,Passo a passo,Canônica preferencial,MANTER,blog/documentacao-imovel-heranca-litoral-passos-2026.html,"Fluxo, documentos, transferência",–,BAIXO
Herança,blog/documentacao-venda-imovel-herdado-litoral.html,Venda herança,Foco venda/herança,Relacionado,MANTER,blog/documentacao-venda-imovel-herdado-litoral.html,"Documentos venda, inventário",–,BAIXO
Locação/temporada,blog/documentacao-locacao-temporada-litoral-guia-2026.html,Documentação locação,Guia operacional,Canônica preferencial,MANTER,blog/documentacao-locacao-temporada-litoral-guia-2026.html,"Regras, documentos, contrato",–,MÉDIO
Locação/temporada,blog/documentacao-aluguel-temporada-litoral-checklist-2026.html,Checklist temporada,Checklist operacional,Relacionado,MANTER,blog/documentacao-aluguel-temporada-litoral-checklist-2026.html,"Checklist, vistoria, regras",–,BAIXO
Locação/temporada,blog/documentacao-alugar-temporada-litoral-2026-08-09.html,Documentação alugar,Conteúdo datado,Relacionado,ATUALIZAR,blog/documentacao-alugar-temporada-litoral-2026-08-09.html,"Conteúdo base se ainda válido",–,BAIXO
Locação/temporada,blog/documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,Documentação temporada,Contrato/registro/seguro,Relacionado,MANTER,blog/documentacao-aluguel-temporada-litoral-contrato-registro-seguro-2026.html,"Contrato, registro, seguro",–,BAIXO
Ferramenta,assets/simulador-financiamento.html,Simulador financiamento,Ferramenta/ativo,Ativo comercial,MANTER,assets/simulador-financiamento.html,"Simulação, inputs, resultado",–,BAIXO
