lead_id,observacao,problema_ou_oportunidade,solucao,beneficio,proximo_passo,preco,acao_humana_pendente
14,"Casa Indaiá 150m praia, anúncio em Instagram com diária pública","Imóvel tem potencial comercial alto, mas sem profissionalização de fotos/apresentação","Fotografia imobiliária + edição de anúncio","Mais credibilidade, menos cancelamento e melhor percepção de valor","Coletar localização exata e qtd de ambientes para briefing","R$ 700+","Sim — agendamento presencial depende de confirmação humana"
15,"Diego aluga temporada em Bertioga Centro com WhatsApp público","Contato direto, mas sem gestão profissional de anúncio/preço","Edição de anúncio + Administração Airbnb","Mais organização, preço otimizado e menos trabalho manual","Enviar diagnóstico rápido e sugerir plano","R$ 700+","Sim — confirmar antes de enviar"
18,"Barequeçaba: anúncio em vídeo no Facebook com WhatsApp público","Boa visibilidade inicial, mas sem estrutura profissional de anúncio/fotos","Fotografia + Edição de anúncio","Aproveitar tração atual e converter mais com apresentação profissional","Pedir permissão para sugerir ajustes no anúncio","R$ 700+","Sim — follow-up humano sugerido"
lead_id,observacao,problema_ou_oportunidade,solucao,beneficio,proximo_passo,preco,acao_humana_pendente
20,"Airbnb Bertioga com rating 4.0 e taxa de resposta 33%","Gestão manual e baixa responsividade reduzem ocupação e avaliação","Administração de Airbnb/temporada com governança de preço, disponibilidade, mensagens e check-in","Mais ocupação, avaliações melhores e menos operacional para o anfitrião","Mostrar diagnóstico rápido do anúncio atual e sugerir plano","10-15%","Sim — confirmar taxa exata e enviar proposta"
21,"Casa Enseada piscina 3 quartos 15 pessoas, sem preço cadastrado","Anúncio sem preço reduz conversão e gera dúvida no interessado","Fotografia + Edição de anúncio com estrutura, SEO local e apresentação profissional","Mais cliques qualificados e redução de dúvidas pré-contrato","Pedir permissão para auditar anúncio e fotos atuais","R$ 700+","Sim — confirmar preço da fotografia antes de enviar"
22,"Casa Boraceia 150m praia, promoção pública no Instagram","Apresentação visual e anúncio informal limitam confiança e escala","Fotografia imobiliária + edição de anúncio para posicionar oferta de forma profissional","Mais credibilidade, menos cancelamento e melhor percepção de valor","Coletar localização exata e qtd de ambientes para briefing","R$ 700+","Sim — agendamento presencial depende de confirmação humana"
lead_id,observacao,problema_ou_oportunidade,solucao,beneficio,proximo_passo,preco,acao_humana_pendente
23,"Temporada Bertioga — 10+ anos, WhatsApp direto, gestão manual","Alta experiência local, mas operação manual pode limitar escala e precificação","Administração de Airbnb/temporada com governança de preço, disponibilidade, mensagens e check-in","Mais ocupação, avaliações melhores e menos operacional","Mostrar diagnóstico rápido e sugerir plano","10-15%","Sim — confirmar taxa exata e enviar proposta"
24,"Grupo 'Bertioga Aluga' — WhatsApp público, anúncios manuais","Gestão própria e anúncios básicos reduzem conversão","Administração Airbnb + edição de anúncio","Mais organização, preço otimizado e conversão maior","Solicitar exemplos de anúncios atuais para diagnóstico","10-15% / R$497","Sim — confirmar antes de enviar"
25,"Casa Riviera mod 28 — anúncio básico no OLX","Falta de profissionalismo visual e descrição estruturada","Fotografia + Edição de anúncio","Maior conversão e melhor posicionamento de busca","Pedir permissão para auditar anúncio atual","R$ 700+","Sim — follow-up humano sugerido"
