lead_id,nome,email,cidade,telefone,data_envio,followup_72h_data,followup_72h_msg,followup_7d_data,followup_7d_msg
L042,Maré Alta Prime Imóveis,contato@smarealtaprime.com.br,Porto da Lua,(11) 99504-3746,2026-07-10,2026-07-13,A temporada já começou — cada hora sem resposta é lead perdido. Nosso assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,2026-07-17,Case no Porto da Lua: cliente aumentou agendamentos em 40% com nossa IA de recomendação. Quer o mesmo resultado?
L043,Sol do Mar Imóveis,contato@ssoldomar.com.br,Costa Verde,(11) 99304-4599,2026-07-10,2026-07-13,Clientes de alto padrão esperam atendimento VIP. Nossa IA personaliza recomendações e qualifica leads automaticamente. Quer ver na prática?,2026-07-17,Case no Costa Verde: atendimento personalizado com IA elevou conversão em 50%. Quer implementar gratuitamente?
L044,Vila Mar Imóveis,contato@svilamar.com.br,Centro Hist.,(11) 98552-9925,2026-07-10,2026-07-13,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case no Centro Hist.: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?
L045,Porto Sol Imóveis,contato@sportosol.com.br,Costa Dourada,(11) 98728-1565,2026-07-10,2026-07-13,Investidores buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,2026-07-17,Case no Costa Dourada: +35% leads qualificados em 30 dias. Quer conversar?
L046,Costa Dourada Imóveis,contato@scostadourada.com.br,Costa Dourada,(11) 98890-2940,2026-07-10,2026-07-13,Investidores buscam dados rápidos e avaliações precisas. Nossa ferramenta entrega isso em 1 clique. Vamos testar?,2026-07-17,Case no Costa Dourada: +35% leads qualificados em 30 dias. Quer conversar?
L047,Brisa Marina Imóveis,contato@sbrisamarina.com.br,Centro Hist.,(11) 99563-9778,2026-07-10,2026-07-13,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case no Centro Hist.: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?
L048,Praia Serena Imóveis,contato@spraiaserena.com.br,Barra Norte,(11) 98823-5454,2026-07-10,2026-07-13,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case no Barra Norte: temporada com IA garantiu +35% reservas fechadas. Quer testar?
L049,Maré Nova Imóveis,contato@smarenova.com.br,Praia Grande,(11) 99843-4748,2026-07-10,2026-07-13,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case no Praia Grande: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?
L050,Sol Nascente Prime Imóveis,contato@ssolnascenteprime.com.br,Vila Mar,(11) 98888-6858,2026-07-10,2026-07-13,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case no Vila Mar: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?
L051,Costa Azul Imóveis,contato@scostaazul.com.br,Brisa do Mar,(11) 98729-1826,2026-07-10,2026-07-13,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case no Brisa do Mar: temporada com IA garantiu +35% reservas fechadas. Quer testar?
L052,Vila Mar Azul Imóveis,contato@svilamarazul.com.br,Praia Sul,(11) 99071-1226,2026-07-10,2026-07-13,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case no Praia Sul: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?
L053,Litoral Premium Imóveis,contato@slitoralpremium.com.br,Vila Mar,(11) 99791-4558,2026-07-10,2026-07-13,Imóveis comerciais tem ciclo de venda longo. Automatize follow-up e reduza esse tempo em até 40%. Demonstração gratuita?,2026-07-17,Case no Vila Mar: automação reduziu ciclo de venda de 90 para 45 dias. Quer aplicar na sua operação?
L054,Praia Exclusive Imóveis,contato@spraiaexclusive.com.br,Barra Norte,(11) 99499-2529,2026-07-10,2026-07-13,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case no Barra Norte: temporada com IA garantiu +35% reservas fechadas. Quer testar?
L055,Costa Premium Imóveis,contato@scostapremium.com.br,Praia Sul,(11) 98528-4193,2026-07-10,2026-07-13,"Famílias buscam segurança e praticidade. Com nossa IA, você envia opções personalizadas em minutos, não em dias. Vamos fazer um teste de 30 dias?",2026-07-17,Case no Praia Sul: imobiliária reduziu tempo de resposta de 3h para 3min usando nosso assistente. Quer replicar?
L056,Barra Premium Imóveis,contato@sbarrapremium.com.br,Barra Norte,(11) 99819-8033,2026-07-10,2026-07-13,Picos de temporada exigem resposta instantânea. Nosso assistente 24/7 garante que nenhum lead fique sem atendimento. Teste grátis?,2026-07-17,Case no Barra Norte: temporada com IA garantiu +35% reservas fechadas. Quer testar?
L057,Porto Exclusive Imóveis,contato@sportoexclusive.com.br,Porto da Lua,(11) 98881-5304,2026-07-10,2026-07-13,A temporada já começou — cada hora sem resposta é lead perdido. Nosso assistente virtual responde em segundos 24/7. Quer testar gratuitamente por 15 dias?,2026-07-17,Case no Porto da Lua: cliente aumentou agendamentos em 40% com nossa IA de recomendação. Quer o mesmo resultado?
