titulo,descricao,preco,cidade,tipo,imagem
"Apartamento Vila São Jorge, São Vicente","Apartamento em Vila São Jorge, São Vicente. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",620000,São Vicente,Apartamento,img/sv-casa-terrea.png
"Apartamento Jardim Peruíbe, Peruíbe","Apartamento em Jardim Peruíbe, Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",620000,Peruíbe,Apartamento,img/peruibe-chacara.png
"Casa Centro, Mongaguá","Casa em Centro, Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",620000,Mongaguá,Casa,img/mongagua-apartamento.png
"Casa Jardim São Lourenço, Bertioga","Casa em Jardim São Lourenço, Bertioga. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",620000,Bertioga,Casa,img/bertioga-apartamento.png
"Studio Centro, Bertioga","Studio em Centro, Bertioga. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",280000,Bertioga,Studio,img/bertioga-apartamento.png
"Studio Pitangueiras, Guarujá","Studio em Pitangueiras, Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",280000,Guarujá,Studio,img/guaruja-sobrado.png
"Apartamento Cibratel, Itanhaém","Apartamento em Cibratel, Itanhaém. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",280000,Itanhaém,Apartamento,img/itanhaem-terreno.png
"Apartamento Macuco, Santos","Apartamento em Macuco, Santos. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",280000,Santos,Apartamento,img/santos-apartamento-vista-mar.png
"Casa São Miguel, Peruíbe","Casa em São Miguel, Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",280000,Peruíbe,Casa,img/peruibe-chacara.png
"Casa Gonzaga, Santos","Casa em Gonzaga, Santos. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",280000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Terreno José Menino, Santos","Terreno em José Menino, Santos. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",180000,Santos,Terreno,img/santos-apartamento-vista-mar.png
"Terreno Vera Cruz, Mongaguá","Terreno em Vera Cruz, Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",180000,Mongaguá,Terreno,img/mongagua-apartamento.png
"Apartamento Centro, Mongaguá","Apartamento em Centro, Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",180000,Mongaguá,Apartamento,img/mongagua-apartamento.png
"Apartamento Vicente de Carvalho, Guarujá","Apartamento em Vicente de Carvalho, Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",180000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Casa Centro, Peruíbe","Casa em Centro, Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",180000,Peruíbe,Casa,img/peruibe-chacara.png
"Casa Boqueirão, Praia Grande","Casa em Boqueirão, Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",180000,Praia Grande,Casa,img/pg-studio.png
"Apartamento Jardim São Lourenço, Bertioga","Apartamento em Jardim São Lourenço, Bertioga. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",340000,Bertioga,Apartamento,img/bertioga-apartamento.png
"Apartamento Boqueirão, Praia Grande","Apartamento em Boqueirão, Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",340000,Praia Grande,Apartamento,img/pg-studio.png
"Apartamento Vila Tupi, Praia Grande","Apartamento em Vila Tupi, Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",340000,Praia Grande,Apartamento,img/pg-studio.png
"Casa Centro, São Vicente","Casa em Centro, São Vicente. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",340000,São Vicente,Casa,img/sv-casa-terrea.png
"Casa Jardim Peruíbe, Peruíbe","Casa em Jardim Peruíbe, Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",340000,Peruíbe,Casa,img/peruibe-chacara.png
"Casa Águas, Mongaguá","Casa em Águas, Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",520000,Mongaguá,Casa,img/mongagua-apartamento.png
"Casa Sorocotuba, Guarujá","Casa em Sorocotuba, Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",520000,Guarujá,Casa,img/guaruja-sobrado.png
"Apartamento Vera Cruz, Mongaguá","Apartamento em Vera Cruz, Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",520000,Mongaguá,Apartamento,img/mongagua-apartamento.png
"Apartamento Rio Preto, Peruíbe","Apartamento em Rio Preto, Peruíbe. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",520000,Peruíbe,Apartamento,img/peruibe-chacara.png
"Casa Centro, Guarujá","Casa em Centro, Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",520000,Guarujá,Casa,img/guaruja-sobrado.png
"Casa Embaré, Santos","Casa em Embaré, Santos. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",520000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Casa Macuco, Santos","Casa em Macuco, Santos. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",750000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Casa Astúrias, Guarujá","Casa em Astúrias, Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",750000,Guarujá,Casa,img/guaruja-sobrado.png
"Apartamento Agenor Campos, Mongaguá","Apartamento em Agenor Campos, Mongaguá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",750000,Mongaguá,Apartamento,img/mongagua-apartamento.png
"Casa Tupi, Praia Grande","Casa em Tupi, Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",750000,Praia Grande,Casa,img/pg-studio.png
"Casa Pernambuco, Guarujá","Casa em Pernambuco, Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",750000,Guarujá,Casa,img/guaruja-sobrado.png
"Apartamento Solemar, Praia Grande","Apartamento em Solemar, Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",410000,Praia Grande,Apartamento,img/pg-studio.png
"Apartamento Tupi, Praia Grande","Apartamento em Tupi, Praia Grande. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",410000,Praia Grande,Apartamento,img/pg-studio.png
"Apartamento Sorocotuba, Guarujá","Apartamento em Sorocotuba, Guarujá. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",410000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Casa Bocaina, Santos","Casa em Bocaina, Santos. Perfeito para quem busca conforto e localização estratégica no litoral de SP.",410000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Apartamento em Centro, São Vicente","Conheça este apartamento em Centro, São Vicente. Localização estratégica e estrutura pronta.",950000,São Vicente,Apartamento,img/sv-casa-terrea.png
"Apartamento Enseada, Guarujá","Cadastre-se e receba opções de apartamento em Enseada, Guarujá.",850000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Cobertura Vila São Jorge, São Vicente","Cadastre-se e receba opções de cobertura em Vila São Jorge, São Vicente.",520000,São Vicente,Cobertura,img/sv-casa-terrea.png
"Cobertura Centro, Peruíbe","Cobertura em Centro, Peruíbe.",950000,Peruíbe,Cobertura,img/peruibe-chacara.png
"Terreno Solemar, Praia Grande","Cadastre-se e receba opções de terreno em Solemar, Praia Grande.",950000,Praia Grande,Terreno,img/pg-studio.png
"Terreno no Vera Cruz, Mongaguá","Encontre terreno em Vera Cruz, Mongaguá. Opção com boa liquidez e valorização no litoral.",520000,Mongaguá,Terreno,img/mongagua-apartamento.png
"Sobrado Centro, Mongaguá","Cadastre-se e receba opções de sobrado em Centro, Mongaguá.",520000,Mongaguá,Sobrado,img/mongagua-apartamento.png
"Sobrado no Boracéia, Bertioga","Encontre sobrado em Boracéia, Bertioga. Opção com boa liquidez e valorização no litoral.",950000,Bertioga,Sobrado,img/bertioga-apartamento.png
"Apartamento Centro, Peruíbe","Oportunidade de apartamento em Centro, Peruíbe. Ideal para moradia ou investimento no litoral.",850000,Peruíbe,Apartamento,img/peruibe-chacara.png
"Apartamento no Boracéia, Bertioga","Cadastre-se e receba opções de apartamento em Boracéia, Bertioga.",620000,Bertioga,Apartamento,img/bertioga-apartamento.png
"Casa em São Miguel, Peruíbe","Casa em São Miguel, Peruíbe.",520000,Peruíbe,Casa,img/peruibe-chacara.png
"Casa em Gonzaga, Santos","Conheça este casa em Gonzaga, Santos. Localização estratégica e estrutura pronta.",750000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Studio em Gonzaguinha, São Vicente","Encontre studio em Gonzaguinha, São Vicente. Opção com boa liquidez e valorização no litoral.",180000,São Vicente,Studio,img/sv-casa-terrea.png
"Studio Centro, Mongaguá","Cadastre-se e receba opções de studio em Centro, Mongaguá.",950000,Mongaguá,Studio,img/mongagua-apartamento.png
"Apartamento no Jardim São Lourenço, Bertioga","Oportunidade de apartamento em Jardim São Lourenço, Bertioga. Ideal para moradia ou investimento no litoral.",180000,Bertioga,Apartamento,img/bertioga-apartamento.png
"Casa no Jardim Peruíbe, Peruíbe","Conheça este casa em Jardim Peruíbe, Peruíbe. Localização estratégica e estrutura pronta.",950000,Peruíbe,Casa,img/peruibe-chacara.png
"Casa em Boracéia, Bertioga","Cadastre-se e receba opções de casa em Boracéia, Bertioga.",180000,Bertioga,Casa,img/bertioga-apartamento.png
"Terreno Bocaina, Santos","Cadastre-se e receba opções de terreno em Bocaina, Santos.",180000,Santos,Terreno,img/santos-apartamento-vista-mar.png
"Terreno Águas, Mongaguá","Oportunidade de terreno em Águas, Mongaguá. Ideal para moradia ou investimento no litoral.",520000,Mongaguá,Terreno,img/mongagua-apartamento.png
"Apartamento em Vila Tupi, Praia Grande","Encontre apartamento em Vila Tupi, Praia Grande. Opção com boa liquidez e valorização no litoral.",180000,Praia Grande,Apartamento,img/pg-studio.png
"Apartamento Gonzaguinha, São Vicente","Encontre apartamento em Gonzaguinha, São Vicente. Opção com boa liquidez e valorização no litoral.",750000,São Vicente,Apartamento,img/sv-casa-terrea.png
"Casa no Embaré, Santos","Casa em Embaré, Santos.",950000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Casa em Solemar, Praia Grande","Conheça este casa em Solemar, Praia Grande. Localização estratégica e estrutura pronta.",950000,Praia Grande,Casa,img/pg-studio.png
"Apartamento em Itararé, São Vicente","Oportunidade de apartamento em Itararé, São Vicente. Ideal para moradia ou investimento no litoral.",950000,São Vicente,Apartamento,img/sv-casa-terrea.png
"Apartamento Boracéia, Bertioga","Encontre apartamento em Boracéia, Bertioga. Opção com boa liquidez e valorização no litoral.",180000,Bertioga,Apartamento,img/bertioga-apartamento.png
"Apartamento em Cibratel, Itanhaém","Cadastre-se e receba opções de apartamento em Cibratel, Itanhaém.",520000,Itanhaém,Apartamento,img/itanhaem-terreno.png
"Apartamento no Trevo, Peruíbe","Conheça este apartamento em Trevo, Peruíbe. Localização estratégica e estrutura pronta.",950000,Peruíbe,Apartamento,img/peruibe-chacara.png
"Casa Centro, Itanhaém","Cadastre-se e receba opções de casa em Centro, Itanhaém.",950000,Itanhaém,Casa,img/itanhaem-terreno.png
"Casa no Agenor Campos, Mongaguá","Cadastre-se e receba opções de casa em Agenor Campos, Mongaguá.",520000,Mongaguá,Casa,img/mongagua-apartamento.png
"Apartamento Gaivotas, Itanhaém","Cadastre-se e receba opções de apartamento em Gaivotas, Itanhaém.",180000,Itanhaém,Apartamento,img/itanhaem-terreno.png
"Apartamento em Guilhermina, Praia Grande","Cadastre-se e receba opções de apartamento em Guilhermina, Praia Grande.",750000,Praia Grande,Apartamento,img/pg-studio.png
"Casa Caiçara, Praia Grande","Conheça este casa em Caiçara, Praia Grande. Localização estratégica e estrutura pronta.",520000,Praia Grande,Casa,img/pg-studio.png
"Casa no Águas, Mongaguá","Casa em Águas, Mongaguá.",180000,Mongaguá,Casa,img/mongagua-apartamento.png
"Chácara Vera Cruz, Mongaguá","Cadastre-se e receba opções de chácara em Vera Cruz, Mongaguá.",850000,Mongaguá,Chácara,img/mongagua-apartamento.png
"Chácara em Boqueirão, Praia Grande","Conheça este chácara em Boqueirão, Praia Grande. Localização estratégica e estrutura pronta.",750000,Praia Grande,Chácara,img/pg-studio.png
"Apartamento em Nova Itanhaém, Itanhaém","Cadastre-se e receba opções de apartamento em Nova Itanhaém, Itanhaém.",850000,Itanhaém,Apartamento,img/itanhaem-terreno.png
"Casa Costão, Itanhaém","Casa em Costão, Itanhaém.",620000,Itanhaém,Casa,img/itanhaem-terreno.png
"Casa no Boqueirão, Praia Grande","Encontre casa em Boqueirão, Praia Grande. Opção com boa liquidez e valorização no litoral.",850000,Praia Grande,Casa,img/pg-studio.png
"Apartamento Pitangueiras, Guarujá","Cadastre-se e receba opções de apartamento em Pitangueiras, Guarujá.",520000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Apartamento em Centro, Mongaguá","Encontre apartamento em Centro, Mongaguá. Opção com boa liquidez e valorização no litoral.",950000,Mongaguá,Apartamento,img/mongagua-apartamento.png
"Apartamento no Gaivotas, Itanhaém","Encontre apartamento em Gaivotas, Itanhaém. Opção com boa liquidez e valorização no litoral.",410000,Itanhaém,Apartamento,img/itanhaem-terreno.png
"Casa em Jardim Peruíbe, Peruíbe","Conheça este casa em Jardim Peruíbe, Peruíbe. Localização estratégica e estrutura pronta.",520000,Peruíbe,Casa,img/peruibe-chacara.png
"Casa no Gonzaguinha, São Vicente","Cadastre-se e receba opções de casa em Gonzaguinha, São Vicente.",520000,São Vicente,Casa,img/sv-casa-terrea.png
"Apartamento Pompeia, Santos","Conheça este apartamento em Pompeia, Santos. Localização estratégica e estrutura pronta.",850000,Santos,Apartamento,img/santos-apartamento-vista-mar.png
"Apartamento em Pernambuco, Guarujá","Encontre apartamento em Pernambuco, Guarujá. Opção com boa liquidez e valorização no litoral.",410000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Apartamento Gonzaga, Santos","Apartamento em Gonzaga, Santos.",850000,Santos,Apartamento,img/santos-apartamento-vista-mar.png
"Cobertura em Centro, Peruíbe","Encontre cobertura em Centro, Peruíbe. Opção com boa liquidez e valorização no litoral.",620000,Peruíbe,Cobertura,img/peruibe-chacara.png
"Cobertura Jardim São Lourenço, Bertioga","Cadastre-se e receba opções de cobertura em Jardim São Lourenço, Bertioga.",950000,Bertioga,Cobertura,img/bertioga-apartamento.png
"Cobertura no Vera Cruz, Mongaguá","Encontre cobertura em Vera Cruz, Mongaguá. Opção com boa liquidez e valorização no litoral.",750000,Mongaguá,Cobertura,img/mongagua-apartamento.png
"Cobertura no Costão, Itanhaém","Encontre cobertura em Costão, Itanhaém. Opção com boa liquidez e valorização no litoral.",850000,Itanhaém,Cobertura,img/itanhaem-terreno.png
"Terreno no Embaré, Santos","Oportunidade de terreno em Embaré, Santos. Ideal para moradia ou investimento no litoral.",520000,Santos,Terreno,img/santos-apartamento-vista-mar.png
"Terreno em Itararé, São Vicente","Terreno em Itararé, São Vicente.",180000,São Vicente,Terreno,img/sv-casa-terrea.png
"Terreno Centro, São Vicente","Oportunidade de terreno em Centro, São Vicente. Ideal para moradia ou investimento no litoral.",180000,São Vicente,Terreno,img/sv-casa-terrea.png
"Terreno Rio Preto, Peruíbe","Encontre terreno em Rio Preto, Peruíbe. Opção com boa liquidez e valorização no litoral.",950000,Peruíbe,Terreno,img/peruibe-chacara.png
"Casa em Sorocotuba, Guarujá","Casa em Sorocotuba, Guarujá.",850000,Guarujá,Casa,img/guaruja-sobrado.png
"Casa em Bocaina, Santos","Casa em Bocaina, Santos.",850000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Apartamento no Jardim Peruíbe, Peruíbe","Oportunidade de apartamento em Jardim Peruíbe, Peruíbe. Ideal para moradia ou investimento no litoral.",520000,Peruíbe,Apartamento,img/peruibe-chacara.png
"Apartamento no Enseada, Guarujá","Apartamento em Enseada, Guarujá.",950000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Apartamento no José Menino, Santos","Cadastre-se e receba opções de apartamento em José Menino, Santos.",180000,Santos,Apartamento,img/santos-apartamento-vista-mar.png
"Casa Nova Itanhaém, Itanhaém","Cadastre-se e receba opções de casa em Nova Itanhaém, Itanhaém.",180000,Itanhaém,Casa,img/itanhaem-terreno.png
"Casa Vila Atlântica, Mongaguá","Casa em Vila Atlântica, Mongaguá.",410000,Mongaguá,Casa,img/mongagua-apartamento.png
"Casa em Embaré, Santos","Cadastre-se e receba opções de casa em Embaré, Santos.",950000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Studio Gonzaga, Santos","Studio em Gonzaga, Santos.",410000,Santos,Studio,img/santos-apartamento-vista-mar.png
"Studio em Centro, Mongaguá","Encontre studio em Centro, Mongaguá. Opção com boa liquidez e valorização no litoral.",520000,Mongaguá,Studio,img/mongagua-apartamento.png
"Studio em Pompeia, Santos","Cadastre-se e receba opções de studio em Pompeia, Santos.",850000,Santos,Studio,img/santos-apartamento-vista-mar.png
"Studio Vera Cruz, Mongaguá","Oportunidade de studio em Vera Cruz, Mongaguá. Ideal para moradia ou investimento no litoral.",180000,Mongaguá,Studio,img/mongagua-apartamento.png
"Apartamento no Vera Cruz, Mongaguá","Conheça este apartamento em Vera Cruz, Mongaguá. Localização estratégica e estrutura pronta.",950000,Mongaguá,Apartamento,img/mongagua-apartamento.png
"Apartamento no Vila Tupi, Praia Grande","Oportunidade de apartamento em Vila Tupi, Praia Grande. Ideal para moradia ou investimento no litoral.",620000,Praia Grande,Apartamento,img/pg-studio.png
"Casa em Centro, Itanhaém","Encontre casa em Centro, Itanhaém. Opção com boa liquidez e valorização no litoral.",410000,Itanhaém,Casa,img/itanhaem-terreno.png
"Casa José Menino, Santos","Conheça este casa em José Menino, Santos. Localização estratégica e estrutura pronta.",850000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Casa em Vista Linda, Bertioga","Conheça este casa em Vista Linda, Bertioga. Localização estratégica e estrutura pronta.",410000,Bertioga,Casa,img/bertioga-apartamento.png
"Terreno Trevo, Peruíbe","Cadastre-se e receba opções de terreno em Trevo, Peruíbe.",750000,Peruíbe,Terreno,img/peruibe-chacara.png
"Terreno no Vila São Jorge, São Vicente","Cadastre-se e receba opções de terreno em Vila São Jorge, São Vicente.",850000,São Vicente,Terreno,img/sv-casa-terrea.png
"Terreno Pitangueiras, Guarujá","Cadastre-se e receba opções de terreno em Pitangueiras, Guarujá.",410000,Guarujá,Terreno,img/guaruja-sobrado.png
"Terreno no Tupi, Praia Grande","Conheça este terreno em Tupi, Praia Grande. Localização estratégica e estrutura pronta.",410000,Praia Grande,Terreno,img/pg-studio.png
"Apartamento em Gonzaguinha, São Vicente","Oportunidade de apartamento em Gonzaguinha, São Vicente. Ideal para moradia ou investimento no litoral.",620000,São Vicente,Apartamento,img/sv-casa-terrea.png
"Apartamento em Centro, Peruíbe","Oportunidade de apartamento em Centro, Peruíbe. Ideal para moradia ou investimento no litoral.",750000,Peruíbe,Apartamento,img/peruibe-chacara.png
"Apartamento José Menino, Santos","Apartamento em José Menino, Santos.",620000,Santos,Apartamento,img/santos-apartamento-vista-mar.png
"Casa Gonzaguinha, São Vicente","Cadastre-se e receba opções de casa em Gonzaguinha, São Vicente.",520000,São Vicente,Casa,img/sv-casa-terrea.png
"Casa em Pernambuco, Guarujá","Oportunidade de casa em Pernambuco, Guarujá. Ideal para moradia ou investimento no litoral.",410000,Guarujá,Casa,img/guaruja-sobrado.png
"Casa Trevo, Peruíbe","Conheça este casa em Trevo, Peruíbe. Localização estratégica e estrutura pronta.",410000,Peruíbe,Casa,img/peruibe-chacara.png
"Apartamento em Enseada, Guarujá","Apartamento em Enseada, Guarujá.",620000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Apartamento no Vila São Jorge, São Vicente","Cadastre-se e receba opções de apartamento em Vila São Jorge, São Vicente.",180000,São Vicente,Apartamento,img/sv-casa-terrea.png
"Apartamento Centro, Guarujá","Encontre apartamento em Centro, Guarujá. Opção com boa liquidez e valorização no litoral.",520000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Casa em Boqueirão, Praia Grande","Cadastre-se e receba opções de casa em Boqueirão, Praia Grande.",750000,Praia Grande,Casa,img/pg-studio.png
"Casa no Centro, Bertioga","Encontre casa em Centro, Bertioga. Opção com boa liquidez e valorização no litoral.",750000,Bertioga,Casa,img/bertioga-apartamento.png
"Casa Agenor Campos, Mongaguá","Oportunidade de casa em Agenor Campos, Mongaguá. Ideal para moradia ou investimento no litoral.",950000,Mongaguá,Casa,img/mongagua-apartamento.png
"Casa no Pompeia, Santos","Conheça este casa em Pompeia, Santos. Localização estratégica e estrutura pronta.",620000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Casa no Sorocotuba, Guarujá","Conheça este casa em Sorocotuba, Guarujá. Localização estratégica e estrutura pronta.",750000,Guarujá,Casa,img/guaruja-sobrado.png
"Casa em José Menino, Santos","Cadastre-se e receba opções de casa em José Menino, Santos.",520000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Casa no Vista Linda, Bertioga","Casa em Vista Linda, Bertioga.",850000,Bertioga,Casa,img/bertioga-apartamento.png
"Apartamento no Solemar, Praia Grande","Apartamento em Solemar, Praia Grande.",850000,Praia Grande,Apartamento,img/pg-studio.png
"Apartamento no Pernambuco, Guarujá","Conheça este apartamento em Pernambuco, Guarujá. Localização estratégica e estrutura pronta.",180000,Guarujá,Apartamento,img/guaruja-sobrado.png
"Apartamento no Guilhermina, Praia Grande","Cadastre-se e receba opções de apartamento em Guilhermina, Praia Grande.",950000,Praia Grande,Apartamento,img/pg-studio.png
"Casa em Macuco, Santos","Cadastre-se e receba opções de casa em Macuco, Santos.",180000,Santos,Casa,img/santos-apartamento-vista-mar.png
"Casa no Catiapoa, São Vicente","Oportunidade de casa em Catiapoa, São Vicente. Ideal para moradia ou investimento no litoral.",850000,São Vicente,Casa,img/sv-casa-terrea.png
"Casa em Rio Preto, Peruíbe","Conheça este casa em Rio Preto, Peruíbe. Localização estratégica e estrutura pronta.",180000,Peruíbe,Casa,img/peruibe-chacara.png
"Casa no Vicente de Carvalho, Guarujá","Conheça este casa em Vicente de Carvalho, Guarujá. Localização estratégica e estrutura pronta.",520000,Guarujá,Casa,img/guaruja-sobrado.png
"Casa Vila São Jorge, São Vicente","Encontre casa em Vila São Jorge, São Vicente. Opção com boa liquidez e valorização no litoral.",520000,São Vicente,Casa,img/sv-casa-terrea.png
"Casa em Jardim São Lourenço, Bertioga","Cadastre-se e receba opções de casa em Jardim São Lourenço, Bertioga.",950000,Bertioga,Casa,img/bertioga-apartamento.png
"Apartamento no Cibratel, Itanhaém","Cadastre-se e receba opções de apartamento em Cibratel, Itanhaém.",750000,Itanhaém,Apartamento,img/itanhaem-terreno.png
"Apartamento no Centro, Peruíbe","Conheça este apartamento em Centro, Peruíbe. Localização estratégica e estrutura pronta.",950000,Peruíbe,Apartamento,img/peruibe-chacara.png
"Casa em Gaivotas, Itanhaém","Conheça este casa em Gaivotas, Itanhaém. Localização estratégica e estrutura pronta.",520000,Itanhaém,Casa,img/itanhaem-terreno.png
"Casa em Maracanã, Praia Grande","Encontre casa em Maracanã, Praia Grande. Opção com boa liquidez e valorização no litoral.",180000,Praia Grande,Casa,img/pg-studio.png
"Casa no Centro, Mongaguá","Cadastre-se e receba opções de casa em Centro, Mongaguá.",180000,Mongaguá,Casa,img/mongagua-apartamento.png
"Apartamento Vila Atlântica, Mongaguá","Encontre apartamento em Vila Atlântica, Mongaguá. Opção com boa liquidez e valorização no litoral.",950000,Mongaguá,Apartamento,img/mongagua-apartamento.png
"Apartamento no Pompeia, Santos","Cadastre-se e receba opções de apartamento em Pompeia, Santos.",750000,Santos,Apartamento,img/santos-apartamento-vista-mar.png
