day,file,to,subject,body
day1,envio-51.html,contato51@exemplo.com,Envio automatico para Litoral Premium Sant | Praia Digital,"Envio automatico para Litoral Premium Sant | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{d"
day1,envio-54.html,contato39@exemplo.com,Envio automatico para Praia Grande Norte | Praia Digital,"Envio automatico para Praia Grande Norte | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{dis"
day1,envio-59.html,contato44@exemplo.com,Envio automatico para Riviera Norte | Praia Digital,"Envio automatico para Riviera Norte | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{display:"
day1,envio-6.html,contato6@exemplo.com,Envio automatico para Beta Imoveis Centro | Praia Digital,"Envio automatico para Beta Imoveis Centro | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{di"
day1,envio-64.html,contato49@exemplo.com,Envio automatico para Caiçara Norte | Praia Digital,"Envio automatico para Caiçara Norte | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{display:"
day1,envio-66.html,contato66@exemplo.com,Envio automatico para Santos Ocean View | Praia Digital,"Envio automatico para Santos Ocean View | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{disp"
day1,envio-74.html,contato74@exemplo.com,Proposta de parceria — Bertioga | Praia Digital,"Proposta de parceria — Bertioga | Praia Digital body {font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header {background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-alig"
day1,envio-76.html,contato76@exemplo.com,Envio automatico para Santos Premium Digital | Praia Digital,"Envio automatico para Santos Premium Digital | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta"
day1,envio-8.html,contato8@exemplo.com,Envio automatico para Ocean Blue Digital | Praia Digital,"Envio automatico para Ocean Blue Digital | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{dis"
day1,envio-89.html,contato89@exemplo.com,Proposta de parceria — Praia Grande | Praia Digital,"Proposta de parceria — Praia Grande | Praia Digital body {font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header {background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-"
day1,envio-91.html,contato91@exemplo.com,Envio automatico para Santos Tower Imoveis | Praia Digital,"Envio automatico para Santos Tower Imoveis | Praia Digital body{font-family:Arial,Helvetica,sans-serif;background:#f4f4f4;color:#333;padding:20px} .container{max-width:600px;margin:auto;background:#fff;padding:20px;border-radius:8px} .cta{d"
day1,envio-99.html,contato99@exemplo.com,Proposta de parceria — Bertioga | Praia Digital,"Proposta de parceria — Bertioga | Praia Digital body {font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header {background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-alig"
day2,followup3-10.html,contato10@exemplo.com,Re: Proposta — Peruíbe/Peruíbe | Praia Digital,"Re: Proposta — Peruíbe/Peruíbe | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:c"
day2,followup3-101.html,contato101@exemplo.com,Re: Proposta — Santos/Santos | Praia Digital,"Re: Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day2,followup3-109.html,contato109@exemplo.com,Re: Proposta — Bertioga/Bertioga | Praia Digital,"Re: Proposta — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align"
day2,followup3-121.html,contato121@exemplo.com,Re: Proposta — Santos/Santos | Praia Digital,"Re: Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day2,followup3-129.html,contato129@exemplo.com,Re: Proposta — Bertioga/Bertioga | Praia Digital,"Re: Proposta — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align"
day2,followup3-141.html,contato141@exemplo.com,Re: Proposta — Santos/Santos | Praia Digital,"Re: Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day2,followup3-161.html,contato161@exemplo.com,Re: Proposta — Santos/Santos | Praia Digital,"Re: Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day2,followup3-176.html,comercial@praia.digital,Follow-up 3 dias - Santos Launch | Praia Digital,"Follow-up 3 dias - Santos Launch | Praia Digital 📬""> *{box-sizing:border-box;margin:0;padding:0} body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;line-height:1.6;padding:2rem} .container{max-width:920px;marg"
day2,followup3-184.html,contato184@exemplo.com,Re: Proposta — Bertioga/Bertioga | Praia Digital,"Re: Proposta — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align"
day2,followup3-186.html,contato186@exemplo.com,Re: Proposta — Santos/Santos | Praia Digital,"Re: Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day2,followup3-194.html,contato194@exemplo.com,Re: Proposta — Bertioga/Bertioga | Praia Digital,"Re: Proposta — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align"
day2,followup3-201.html,comercial@praia.digital,Follow-up 3 dias - Santos Elite | Praia Digital,"Follow-up 3 dias - Santos Elite | Praia Digital 📬""> *{box-sizing:border-box;margin:0;padding:0} body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;line-height:1.6;padding:2rem} .container{max-width:920px;margi"
day2,followup3-209.html,contato209@exemplo.com,Re: Proposta — Bertioga/Bertioga | Praia Digital,"Re: Proposta — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align"
day2,followup3-21.html,contato21@exemplo.com,Re: Proposta — Santos/Santos | Praia Digital,"Re: Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day2,followup3-216.html,contato216@exemplo.com,Re: Proposta — Santos/Santos | Praia Digital,"Re: Proposta — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;text-align:cen"
day2,followup3-24.html,contato24@exemplo.com,Re: Proposta — Praia Grande/Praia Grande | Praia Digital,"Re: Proposta — Praia Grande/Praia Grande | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#0077B6,#00B4D8);color:#fff;padding:1.5rem 2rem;te"
day3,call-10.html,contato10@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-101.html,contato101@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-121.html,contato121@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-141.html,contato141@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-161.html,contato161@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-176.html,contato176@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-186.html,contato186@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-21.html,contato21@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-24.html,contato24@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-34.html,contato34@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-41.html,contato41@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-51.html,contato36@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-54.html,contato54@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-59.html,contato59@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-6.html,contato6@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-64.html,contato64@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-66.html,contato66@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-76.html,contato76@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,call-8.html,contato8@exemplo.com,Agendamento Call — Litoral | Praia Digital,"Agendamento Call — Litoral | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6p"
day3,call-91.html,contato91@exemplo.com,Agendamento Call — Santos | Praia Digital,"Agendamento Call — Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} .card{max-width:760px;margin:2rem auto;padding:1.75rem;background:#fff;border-radius:16px;box-shadow:0 6px"
day3,followup7-10.html,contato10@exemplo.com,Último passo — Peruíbe/Peruíbe | Praia Digital,"Último passo — Peruíbe/Peruíbe | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align:c"
day3,followup7-101.html,contato101@exemplo.com,Último passo — Santos/Santos | Praia Digital,"Último passo — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align:cen"
day3,followup7-109.html,contato109@exemplo.com,Último passo — Bertioga/Bertioga | Praia Digital,"Último passo — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align"
day3,followup7-121.html,contato121@exemplo.com,Último passo — Santos/Santos | Praia Digital,"Último passo — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align:cen"
day3,followup7-129.html,contato129@exemplo.com,Último passo — Bertioga/Bertioga | Praia Digital,"Último passo — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align"
day3,followup7-141.html,contato141@exemplo.com,Último passo — Santos/Santos | Praia Digital,"Último passo — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align:cen"
day3,followup7-161.html,contato161@exemplo.com,Último passo — Santos/Santos | Praia Digital,"Último passo — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align:cen"
day3,followup7-176.html,comercial@praia.digital,Follow-up 7 dias - Santos Launch | Praia Digital,"Follow-up 7 dias - Santos Launch | Praia Digital 📬""> *{box-sizing:border-box;margin:0;padding:0} body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;line-height:1.6;padding:2rem} .container{max-width:920px;marg"
day3,followup7-184.html,contato184@exemplo.com,Último passo — Bertioga/Bertioga | Praia Digital,"Último passo — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align"
day3,followup7-186.html,contato186@exemplo.com,Último passo — Santos/Santos | Praia Digital,"Último passo — Santos/Santos | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align:cen"
day3,followup7-194.html,contato194@exemplo.com,Último passo — Bertioga/Bertioga | Praia Digital,"Último passo — Bertioga/Bertioga | Praia Digital body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;margin:0} header{background:linear-gradient(135deg,#F97316,#FBBF24);color:#fff;padding:1.5rem 2rem;text-align"
day3,followup7-201.html,comercial@praia.digital,Follow-up 7 dias - Santos Elite | Praia Digital,"Follow-up 7 dias - Santos Elite | Praia Digital 📬""> *{box-sizing:border-box;margin:0;padding:0} body{font-family:'Segoe UI',system-ui,sans-serif;background:#F4EBD0;color:#023047;line-height:1.6;padding:2rem} .container{max-width:920px;margi"
