id,nome_da_imobiliaria,cidade,pessoa_de_contato,cargo,email,whatsapp,perfil,status,dor_principal,diferencial,fonte,pontuacao_lead,objetivo_90_dias,orcamento_estimado,tom,cidade_ref,created_at,_score,last_contact,next_followup
134,São Vicente Litoral,São Vicente,Contato 34,Gerente,lead134@exemplo.com,(13) 99999-1034,imobiliaria,novo,aumentar captação,chatbot,Google Maps,84,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,,
135,Bertioga Praia,Bertioga,Contato 35,Gerente,lead135@exemplo.com,(13) 99999-1035,imobiliaria,novo,aumentar captação,chatbot,Google Maps,85,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,,
136,Itanhaém Smart,Itanhaém,Contato 36,Gerente,lead136@exemplo.com,(13) 99999-1036,imobiliaria,novo,aumentar captação,chatbot,Google Maps,86,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,,
137,Peruíbe Blue,Peruíbe,Contato 37,Gerente,lead137@exemplo.com,(13) 99999-1037,imobiliaria,novo,aumentar captação,chatbot,Google Maps,87,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,,
138,Mongaguá Green,Mongaguá,Contato 38,Gerente,lead138@exemplo.com,(13) 99999-1038,imobiliaria,novo,aumentar captação,chatbot,Google Maps,88,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,,
139,Ubatuba Elite,Ubatuba,Contato 39,Gerente,lead139@exemplo.com,(13) 99999-1039,imobiliaria,novo,aumentar captação,chatbot,Google Maps,89,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,,
140,Ilhabela Executive,Ilhabela,Contato 40,Gerente,lead140@exemplo.com,(13) 99999-1040,imobiliaria,novo,aumentar captação,chatbot,Google Maps,70,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,,
141,Santos Launch,Santos,Contato 41,Gerente,lead141@exemplo.com,(13) 99999-1041,imobiliaria,novo,aumentar captação,chatbot,Google Maps,71,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,,
142,Guarujá Platinum,Guarujá,Contato 42,Gerente,lead142@exemplo.com,(13) 99999-1042,imobiliaria,novo,aumentar captação,chatbot,Google Maps,72,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,,
143,Praia Grande Connect,Praia Grande,Contato 43,Gerente,lead143@exemplo.com,(13) 99999-1043,imobiliaria,novo,aumentar captação,chatbot,Google Maps,73,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,,
144,São Vicente View,São Vicente,Contato 44,Gerente,lead144@exemplo.com,(13) 99999-1044,imobiliaria,novo,aumentar captação,chatbot,Google Maps,74,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,,
145,Bertioga Center,Bertioga,Contato 45,Gerente,lead145@exemplo.com,(13) 99999-1045,imobiliaria,novo,aumentar captação,chatbot,Google Maps,75,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,,
146,Itanhaém Premium,Itanhaém,Contato 46,Gerente,lead146@exemplo.com,(13) 99999-1046,imobiliaria,novo,aumentar captação,chatbot,Google Maps,76,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,,
147,Peruíbe Digital,Peruíbe,Contato 47,Gerente,lead147@exemplo.com,(13) 99999-1047,imobiliaria,novo,aumentar captação,chatbot,Google Maps,77,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,,
148,Mongaguá Tech,Mongaguá,Contato 48,Gerente,lead148@exemplo.com,(13) 99999-1048,imobiliaria,novo,aumentar captação,chatbot,Google Maps,78,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,,
149,Ubatuba Litoral,Ubatuba,Contato 49,Gerente,lead149@exemplo.com,(13) 99999-1049,imobiliaria,novo,aumentar captação,chatbot,Google Maps,79,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,,
150,Ilhabela Praia,Ilhabela,Contato 50,Gerente,lead150@exemplo.com,(13) 99999-1050,imobiliaria,novo,aumentar captação,chatbot,Google Maps,80,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,,
151,Santos Smart,Santos,Contato 51,Gerente,lead151@exemplo.com,(13) 99999-1051,imobiliaria,novo,aumentar captação,chatbot,Google Maps,81,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,,
152,Guarujá Blue,Guarujá,Contato 52,Gerente,lead152@exemplo.com,(13) 99999-1052,imobiliaria,novo,aumentar captação,chatbot,Google Maps,82,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,,
153,Praia Grande Green,Praia Grande,Contato 53,Gerente,lead153@exemplo.com,(13) 99999-1053,imobiliaria,novo,aumentar captação,chatbot,Google Maps,83,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,,
154,São Vicente Elite,São Vicente,Contato 54,Gerente,lead154@exemplo.com,(13) 99999-1054,imobiliaria,novo,aumentar captação,chatbot,Google Maps,84,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,,
155,Bertioga Executive,Bertioga,Contato 55,Gerente,lead155@exemplo.com,(13) 99999-1055,imobiliaria,novo,aumentar captação,chatbot,Google Maps,85,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,,
156,Itanhaém Launch,Itanhaém,Contato 56,Gerente,lead156@exemplo.com,(13) 99999-1056,imobiliaria,novo,aumentar captação,chatbot,Google Maps,86,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,,
157,Peruíbe Platinum,Peruíbe,Contato 57,Gerente,lead157@exemplo.com,(13) 99999-1057,imobiliaria,novo,aumentar captação,chatbot,Google Maps,87,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,,
158,Mongaguá Connect,Mongaguá,Contato 58,Gerente,lead158@exemplo.com,(13) 99999-1058,imobiliaria,novo,aumentar captação,chatbot,Google Maps,88,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,,
159,Ubatuba View,Ubatuba,Contato 59,Gerente,lead159@exemplo.com,(13) 99999-1059,imobiliaria,novo,aumentar captação,chatbot,Google Maps,89,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,,
160,Ilhabela Center,Ilhabela,Contato 60,Gerente,lead160@exemplo.com,(13) 99999-1060,imobiliaria,novo,aumentar captação,chatbot,Google Maps,70,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,,
161,Santos Premium,Santos,Contato 61,Gerente,lead161@exemplo.com,(13) 99999-1061,imobiliaria,novo,aumentar captação,chatbot,Google Maps,71,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,,
162,Guarujá Digital,Guarujá,Contato 62,Gerente,lead162@exemplo.com,(13) 99999-1062,imobiliaria,novo,aumentar captação,chatbot,Google Maps,72,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,,
163,Praia Grande Tech,Praia Grande,Contato 63,Gerente,lead163@exemplo.com,(13) 99999-1063,imobiliaria,novo,aumentar captação,chatbot,Google Maps,73,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,,
164,São Vicente Litoral,São Vicente,Contato 64,Gerente,lead164@exemplo.com,(13) 99999-1064,imobiliaria,novo,aumentar captação,chatbot,Google Maps,74,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,,
165,Bertioga Praia,Bertioga,Contato 65,Gerente,lead165@exemplo.com,(13) 99999-1065,imobiliaria,novo,aumentar captação,chatbot,Google Maps,75,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,,
166,Itanhaém Smart,Itanhaém,Contato 66,Gerente,lead166@exemplo.com,(13) 99999-1066,imobiliaria,novo,aumentar captação,chatbot,Google Maps,76,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,,
167,Peruíbe Blue,Peruíbe,Contato 67,Gerente,lead167@exemplo.com,(13) 99999-1067,imobiliaria,novo,aumentar captação,chatbot,Google Maps,77,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,,
168,Mongaguá Green,Mongaguá,Contato 68,Gerente,lead168@exemplo.com,(13) 99999-1068,imobiliaria,novo,aumentar captação,chatbot,Google Maps,78,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,,
169,Ubatuba Elite,Ubatuba,Contato 69,Gerente,lead169@exemplo.com,(13) 99999-1069,imobiliaria,novo,aumentar captação,chatbot,Google Maps,79,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,,
170,Ilhabela Executive,Ilhabela,Contato 70,Gerente,lead170@exemplo.com,(13) 99999-1070,imobiliaria,novo,aumentar captação,chatbot,Google Maps,80,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,,
171,Santos Launch,Santos,Contato 71,Gerente,lead171@exemplo.com,(13) 99999-1071,imobiliaria,novo,aumentar captação,chatbot,Google Maps,81,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,,
172,Guarujá Platinum,Guarujá,Contato 72,Gerente,lead172@exemplo.com,(13) 99999-1072,imobiliaria,novo,aumentar captação,chatbot,Google Maps,82,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,,
173,Praia Grande Connect,Praia Grande,Contato 73,Gerente,lead173@exemplo.com,(13) 99999-1073,imobiliaria,novo,aumentar captação,chatbot,Google Maps,83,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,,
174,São Vicente View,São Vicente,Contato 74,Gerente,lead174@exemplo.com,(13) 99999-1074,imobiliaria,novo,aumentar captação,chatbot,Google Maps,84,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,,
175,Bertioga Center,Bertioga,Contato 75,Gerente,lead175@exemplo.com,(13) 99999-1075,imobiliaria,novo,aumentar captação,chatbot,Google Maps,85,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,,
176,Itanhaém Premium,Itanhaém,Contato 76,Gerente,lead176@exemplo.com,(13) 99999-1076,imobiliaria,novo,aumentar captação,chatbot,Google Maps,86,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,,
177,Peruíbe Digital,Peruíbe,Contato 77,Gerente,lead177@exemplo.com,(13) 99999-1077,imobiliaria,novo,aumentar captação,chatbot,Google Maps,87,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,,
178,Mongaguá Tech,Mongaguá,Contato 78,Gerente,lead178@exemplo.com,(13) 99999-1078,imobiliaria,novo,aumentar captação,chatbot,Google Maps,88,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,,
179,Ubatuba Litoral,Ubatuba,Contato 79,Gerente,lead179@exemplo.com,(13) 99999-1079,imobiliaria,novo,aumentar captação,chatbot,Google Maps,89,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,,
180,Ilhabela Praia,Ilhabela,Contato 80,Gerente,lead180@exemplo.com,(13) 99999-1080,imobiliaria,novo,aumentar captação,chatbot,Google Maps,70,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,,
181,Santos Smart,Santos,Contato 81,Gerente,lead181@exemplo.com,(13) 99999-1081,imobiliaria,novo,aumentar captação,chatbot,Google Maps,71,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,,
182,Guarujá Blue,Guarujá,Contato 82,Gerente,lead182@exemplo.com,(13) 99999-1082,imobiliaria,novo,aumentar captação,chatbot,Google Maps,72,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,,
183,Praia Grande Green,Praia Grande,Contato 83,Gerente,lead183@exemplo.com,(13) 99999-1083,imobiliaria,novo,aumentar captação,chatbot,Google Maps,73,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,,
184,São Vicente Elite,São Vicente,Contato 84,Gerente,lead184@exemplo.com,(13) 99999-1084,imobiliaria,novo,aumentar captação,chatbot,Google Maps,74,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,,
185,Bertioga Executive,Bertioga,Contato 85,Gerente,lead185@exemplo.com,(13) 99999-1085,imobiliaria,novo,aumentar captação,chatbot,Google Maps,75,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,,
186,Itanhaém Launch,Itanhaém,Contato 86,Gerente,lead186@exemplo.com,(13) 99999-1086,imobiliaria,novo,aumentar captação,chatbot,Google Maps,76,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,,
187,Peruíbe Platinum,Peruíbe,Contato 87,Gerente,lead187@exemplo.com,(13) 99999-1087,imobiliaria,novo,aumentar captação,chatbot,Google Maps,77,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,,
188,Mongaguá Connect,Mongaguá,Contato 88,Gerente,lead188@exemplo.com,(13) 99999-1088,imobiliaria,novo,aumentar captação,chatbot,Google Maps,78,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,,
189,Ubatuba View,Ubatuba,Contato 89,Gerente,lead189@exemplo.com,(13) 99999-1089,imobiliaria,novo,aumentar captação,chatbot,Google Maps,79,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,,
190,Ilhabela Center,Ilhabela,Contato 90,Gerente,lead190@exemplo.com,(13) 99999-1090,imobiliaria,novo,aumentar captação,chatbot,Google Maps,80,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,,
191,Santos Premium,Santos,Contato 91,Gerente,lead191@exemplo.com,(13) 99999-1091,imobiliaria,novo,aumentar captação,chatbot,Google Maps,81,Automação,R$ 1-3k/mês,parceiro,Santos,08/07/2026,21,,
192,Guarujá Digital,Guarujá,Contato 92,Gerente,lead192@exemplo.com,(13) 99999-1092,imobiliaria,novo,aumentar captação,chatbot,Google Maps,82,Automação,R$ 1-3k/mês,parceiro,Guarujá,08/07/2026,22,,
193,Praia Grande Tech,Praia Grande,Contato 93,Gerente,lead193@exemplo.com,(13) 99999-1093,imobiliaria,novo,aumentar captação,chatbot,Google Maps,83,Automação,R$ 1-3k/mês,parceiro,Praia Grande,08/07/2026,23,,
194,São Vicente Litoral,São Vicente,Contato 94,Gerente,lead194@exemplo.com,(13) 99999-1094,imobiliaria,novo,aumentar captação,chatbot,Google Maps,84,Automação,R$ 1-3k/mês,parceiro,São Vicente,08/07/2026,24,,
195,Bertioga Praia,Bertioga,Contato 95,Gerente,lead195@exemplo.com,(13) 99999-1095,imobiliaria,novo,aumentar captação,chatbot,Google Maps,85,Automação,R$ 1-3k/mês,parceiro,Bertioga,08/07/2026,20,,
196,Itanhaém Smart,Itanhaém,Contato 96,Gerente,lead196@exemplo.com,(13) 99999-1096,imobiliaria,novo,aumentar captação,chatbot,Google Maps,86,Automação,R$ 1-3k/mês,parceiro,Itanhaém,08/07/2026,21,,
197,Peruíbe Blue,Peruíbe,Contato 97,Gerente,lead197@exemplo.com,(13) 99999-1097,imobiliaria,novo,aumentar captação,chatbot,Google Maps,87,Automação,R$ 1-3k/mês,parceiro,Peruíbe,08/07/2026,22,,
198,Mongaguá Green,Mongaguá,Contato 98,Gerente,lead198@exemplo.com,(13) 99999-1098,imobiliaria,novo,aumentar captação,chatbot,Google Maps,88,Automação,R$ 1-3k/mês,parceiro,Mongaguá,08/07/2026,23,,
199,Ubatuba Elite,Ubatuba,Contato 99,Gerente,lead199@exemplo.com,(13) 99999-1099,imobiliaria,novo,aumentar captação,chatbot,Google Maps,89,Automação,R$ 1-3k/mês,parceiro,Ubatuba,08/07/2026,24,,
200,Ilhabela Executive,Ilhabela,Contato 100,Gerente,lead200@exemplo.com,(13) 99999-1100,imobiliaria,novo,aumentar captação,chatbot,Google Maps,70,Automação,R$ 1-3k/mês,parceiro,Ilhabela,08/07/2026,20,,
