id,nome_da_imobiliaria,cidade,pessoa_de_contato,email,perfil,dor_principal,diferencial,pontuacao_lead,objetivo_90_dias,orcamento_estimado,tom
19,Litoral Norte Imóveis,Santos,Renato Almeida,contato19@exemplo.com,imobiliaria,conversao,chatbot,88,Relatórios,R$ 1-3k/mês,parceiro
29,Riviera Imóveis,Bertioga,Ana Barros,contato29@exemplo.com,construtora,leads,anuncios,63,SEO local,R$ 1-3k/mês,formal
32,Boqueirão Imóveis,Santos,Paulo Mendes,contato32@exemplo.com,construtora,conversao,seo,84,Relatórios,R$ 0.5-2k/mês,parceiro
62,Boqueirão Norte,Santos,Paulo Costa,contato47@exemplo.com,construtora,conversao,seo,89,Relatórios,R$ 0.5-2k/mês,parceiro
84,Riviera Blue,Bertioga,Isabela Costa,contato84@exemplo.com,construtora,leads,anuncios,66,SEO local,R$ 1-3k/mês,formal
87,Embaré Digital,Santos,Rafaela Nunes,contato87@exemplo.com,construtora,conversao,seo,86,Relatórios,R$ 0.5-2k/mês,parceiro
106,Peruíbe Eco,Peruíbe,Thiago Rocha,contato106@exemplo.com,gestor,leads,chatbot,91,Aumentar captação,R$ 1-3k/mês,parceiro
111,Gonzaga Digital,Santos,Patrícia Ribeiro,contato111@exemplo.com,imobiliaria,atendimento,chatbot,81,Aumentar captação,R$ 1-3k/mês,direto
112,Embaré Tech,Santos,Paulo Nunes,contato112@exemplo.com,construtora,conversao,seo,88,Relatórios,R$ 0.5-2k/mês,parceiro
126,Peruíbe Natureza,Peruíbe,Carlos Dias,contato126@exemplo.com,gestor,leads,chatbot,92,Aumentar captação,R$ 1-3k/mês,parceiro
131,Gonzaga Smart,Santos,Bianca Martins,contato131@exemplo.com,imobiliaria,atendimento,chatbot,82,Aumentar captação,R$ 1-3k/mês,direto
132,Embaré Conecta,Santos,Paulo Ferreira,contato132@exemplo.com,construtora,conversao,seo,87,Relatórios,R$ 0.5-2k/mês,parceiro
146,Peruíbe Executive,Peruíbe,Amanda Souza,contato146@exemplo.com,gestor,leads,chatbot,91,Aumentar captação,R$ 1-3k/mês,parceiro
151,Gonzaga Executive,Santos,Fábio Costa,contato151@exemplo.com,imobiliaria,atendimento,chatbot,82,Aumentar captação,R$ 1-3k/mês,direto
152,Embaré Executive,Santos,Patrícia Ferreira,contato152@exemplo.com,construtora,conversao,seo,88,Relatórios,R$ 0.5-2k/mês,parceiro
166,Peruíbe Nature,Peruíbe,Gustavo Almeida,contato166@exemplo.com,gestor,leads,chatbot,90,Aumentar captação,R$ 1-3k/mês,parceiro
171,Gonzaga Digital,Santos,Bianca Martins,contato171@exemplo.com,imobiliaria,atendimento,chatbot,83,Aumentar captação,R$ 1-3k/mês,direto
172,Embaré Tech,Santos,Paulo Nunes,contato172@exemplo.com,construtora,conversao,seo,88,Relatórios,R$ 0.5-2k/mês,parceiro
181,Peruíbe Launch,Peruíbe,Gustavo Costa,contato181@exemplo.com,gestor,leads,chatbot,91,Aumentar captação,R$ 1-3k/mês,parceiro
191,Peruíbe Platinum,Peruíbe,Amanda Souza,contato191@exemplo.com,gestor,leads,chatbot,92,Aumentar captação,R$ 1-3k/mês,parceiro
196,Gonzaga Platinum,Santos,Fábio Costa,contato196@exemplo.com,imobiliaria,atendimento,chatbot,84,Aumentar captação,R$ 1-3k/mês,direto
197,Embaré Platinum,Santos,Patrícia Ferreira,contato197@exemplo.com,construtora,conversao,seo,89,Relatórios,R$ 0.5-2k/mês,parceiro
206,Peruíbe Elite,Peruíbe,Gustavo Henrique,contato206@exemplo.com,gestor,leads,chatbot,93,Aumentar captação,R$ 1-3k/mês,parceiro
211,Gonzaga Elite,Santos,Camila Ribeiro,contato211@exemplo.com,imobiliaria,atendimento,chatbot,85,Aumentar captação,R$ 1-3k/mês,direto
31,Gonzaga Premium,Santos,Mariana Rocha,contato31@exemplo.com,imobiliaria,atendimento,chatbot,77,Aumentar captação,R$ 1-3k/mês,direto
46,Rio Preto Sol,Peruíbe,Luciana Barros,contato46@exemplo.com,imobiliaria,atendimento,chatbot,77,Relatórios,R$ 1-3k/mês,direto
56,Peruíbe Norte,Peruíbe,Camila Souza,contato41@exemplo.com,gestor,atendimento,avaliacao,82,Relatórios,R$ 1-3k/mês,parceiro
61,Gonzaga Sul,Santos,Patrícia Almeida,contato46@exemplo.com,imobiliaria,atendimento,chatbot,79,Aumentar captação,R$ 1-3k/mês,direto
71,Peruíbe Coast,Peruíbe,Felipe Nascimento,contato71@exemplo.com,gestor,leads,chatbot,88,Aumentar captação,R$ 1-3k/mês,parceiro
78,Bertioga Centro,Bertioga,Débora Almeida,contato78@exemplo.com,gestor,atendimento,avaliacao,82,Relatórios,R$ 1-3k/mês,formal
81,Peruíbe Centro Digital,Peruíbe,Gustavo Henrique,contato81@exemplo.com,gestor,leads,chatbot,87,Aumentar captação,R$ 1-3k/mês,parceiro
86,Gonzaga Norte,Santos,Camila Ribeiro,contato86@exemplo.com,imobiliaria,atendimento,chatbot,75,Aumentar captação,R$ 1-3k/mês,direto
96,Peruíbe Ecologic,Peruíbe,Humberto Costa,contato96@exemplo.com,gestor,leads,chatbot,89,Aumentar captação,R$ 1-3k/mês,parceiro
116,Santos Smart,Santos,Renato Lima,contato116@exemplo.com,gestor,leads,avaliacao,87,Automação,R$ 1-3k/mês,parceiro
136,Santos Connect,Santos,Juliano Mendes,contato136@exemplo.com,gestor,leads,avaliacao,89,Automação,R$ 1-3k/mês,parceiro
156,Santos Vision,Santos,Juliano Mendes,contato156@exemplo.com,gestor,leads,avaliacao,89,Automação,R$ 1-3k/mês,parceiro
188,Bertioga Platinum,Bertioga,Paulo Mendes,contato188@exemplo.com,gestor,atendimento,avaliacao,80,Relatórios,R$ 1-3k/mês,formal
203,Bertioga Elite,Bertioga,Débora Almeida,contato203@exemplo.com,gestor,atendimento,avaliacao,81,Relatórios,R$ 1-3k/mês,formal
218,Bertioga Prime,Bertioga,Monique Rocha,contato218@exemplo.com,gestor,atendimento,avaliacao,82,Relatórios,R$ 1-3k/mês,formal
13,Mar & Sol Praia,Santos,Patrícia Barros,contato13@exemplo.com,imobiliaria,atendimento,chatbot,64,Automação,R$ 1-4k/mês,direto
18,Mar & Sol Litoral,Santos,Luciana Souza,contato18@exemplo.com,gestor,leads,avaliacao,75,Mais conteúdo,R$ 1-3k/mês,parceiro
26,Peruíbe Sol,Peruíbe,Fernanda Costa,contato26@exemplo.com,gestor,atendimento,avaliacao,76,Relatórios,R$ 1-3k/mês,parceiro
39,Ponta da Praia,Santos,Marina Rocha,contato39@exemplo.com,gestor,leads,chatbot,78,Aumentar captação,R$ 1-3k/mês,parceiro
83,Itanhaém Norte,Itanhaém,Thiago Lima,contato83@exemplo.com,imobiliaria,anuncios,chatbot,91,Relatórios,R$ 1-3k/mês,parceiro
92,Guarujá Blue Tech,Guarujá,Igor Barros,contato92@exemplo.com,imobiliaria,conversao,seo,81,SEO local,R$ 0.5-2k/mês,direto
93,Bertioga Riviera Tech,Bertioga,Monique Rocha,contato93@exemplo.com,gestor,atendimento,avaliacao,74,Relatórios,R$ 1-3k/mês,formal
98,Itanhaém Premium,Itanhaém,Fábio Souza,contato98@exemplo.com,imobiliaria,anuncios,chatbot,92,Relatórios,R$ 1-3k/mês,parceiro
102,Guarujá Premium,Guarujá,Leonardo Azevedo,contato102@exemplo.com,imobiliaria,conversao,seo,83,SEO local,R$ 0.5-2k/mês,direto
103,Bertioga Green,Bertioga,Fernanda Lopes,contato103@exemplo.com,gestor,atendimento,avaliacao,77,Relatórios,R$ 1-3k/mês,formal
108,Itanhaém Premium,Itanhaém,Fábio Carvalho,contato108@exemplo.com,imobiliaria,anuncios,chatbot,93,Relatórios,R$ 1-3k/mês,parceiro
119,Praia Grande Smart,Praia Grande,Fernanda Rocha,contato119@exemplo.com,construtora,leads,anuncios,68,Automação,R$ 0.5-2k/mês,formal
122,Guarujá Conecta,Guarujá,Thiago Almeida,contato122@exemplo.com,imobiliaria,conversao,seo,84,SEO local,R$ 0.5-2k/mês,direto
123,Bertioga Inovação,Bertioga,Fernanda Lima,contato123@exemplo.com,gestor,atendimento,avaliacao,78,Relatórios,R$ 1-3k/mês,formal
128,Itanhaém Surf,Itanhaém,Gustavo Costa,contato128@exemplo.com,imobiliaria,anuncios,chatbot,94,Relatórios,R$ 1-3k/mês,parceiro
139,Praia Grande Relax,Praia Grande,Carla Nunes,contato139@exemplo.com,construtora,leads,anuncios,69,Automação,R$ 0.5-2k/mês,formal
142,Guarujá Executive,Guarujá,Marina Costa,contato142@exemplo.com,imobiliaria,conversao,seo,84,SEO local,R$ 0.5-2k/mês,direto
143,Bertioga Executive,Bertioga,Paulo Mendes,contato143@exemplo.com,gestor,atendimento,avaliacao,79,Relatórios,R$ 1-3k/mês,formal
148,Itanhaém Executive,Itanhaém,Larissa Barros,contato148@exemplo.com,imobiliaria,anuncios,chatbot,93,Relatórios,R$ 1-3k/mês,parceiro
159,Praia Grande Vision,Praia Grande,Carla Nunes,contato159@exemplo.com,construtora,leads,anuncios,69,Automação,R$ 0.5-2k/mês,formal
162,Guarujá Coast Imóveis,Guarujá,André Luiz,contato162@exemplo.com,imobiliaria,conversao,seo,82,SEO local,R$ 0.5-2k/mês,direto
163,Bertioga Premium,Bertioga,Fernanda Costa,contato163@exemplo.com,gestor,atendimento,avaliacao,77,Relatórios,R$ 1-3k/mês,formal
168,Itanhaém Premium,Itanhaém,Fábio Souza,contato168@exemplo.com,imobiliaria,anuncios,chatbot,91,Relatórios,R$ 1-3k/mês,parceiro
177,Guarujá Launch,Guarujá,Thiago Barros,contato177@exemplo.com,imobiliaria,conversao,seo,85,SEO local,R$ 0.5-2k/mês,direto
178,Bertioga Launch,Bertioga,Fernanda Rocha,contato178@exemplo.com,gestor,atendimento,avaliacao,79,Relatórios,R$ 1-3k/mês,formal
183,Itanhaém Launch,Itanhaém,Fábio Souza,contato183@exemplo.com,imobiliaria,anuncios,chatbot,94,Relatórios,R$ 1-3k/mês,parceiro
187,Guarujá Platinum,Guarujá,Marina Costa,contato187@exemplo.com,imobiliaria,conversao,seo,86,SEO local,R$ 0.5-2k/mês,direto
193,Itanhaém Platinum,Itanhaém,Larissa Barros,contato193@exemplo.com,imobiliaria,anuncios,chatbot,95,Relatórios,R$ 1-3k/mês,parceiro
202,Guarujá Elite,Guarujá,Fábio Rocha,contato202@exemplo.com,imobiliaria,conversao,seo,87,SEO local,R$ 0.5-2k/mês,direto
208,Itanhaém Elite,Itanhaém,Thiago Lima,contato208@exemplo.com,imobiliaria,anuncios,chatbot,96,Relatórios,R$ 1-3k/mês,parceiro
217,Guarujá Prime,Guarujá,Igor Barros,contato217@exemplo.com,imobiliaria,conversao,seo,88,SEO local,R$ 0.5-2k/mês,direto
4,Norte Sul Praia,Guarujá,Ana Lima,contato4@exemplo.com,gestor,atendimento,seo,61,Mais conteúdo,R$ 1-3k/mês,formal
9,Ocean Blue Centro,Santos,Luciana Nunes,contato9@exemplo.com,imobiliaria,conteudo,chatbot,83,Automação,R$ 1-3k/mês,parceiro
16,Prime Imóveis Site,Peruíbe,Fernanda Souza,contato16@exemplo.com,construtora,conteudo,anuncios,67,Automação,R$ 1-3k/mês,direto
28,Itanhaém Mar,Itanhaém,Carlos Souza,contato28@exemplo.com,imobiliaria,anuncios,chatbot,89,Relatórios,R$ 1-3k/mês,parceiro
37,José Menino Premium,Santos,Paula Souza,contato37@exemplo.com,imobiliaria,conversao,seo,59,Relatórios,R$ 1-3k/mês,direto
43,Gaivota Imóveis,Itanhaém,Paula Torres,contato43@exemplo.com,imobiliaria,conversao,seo,74,Mais conteúdo,R$ 0.5-2k/mês,direto
50,Litoral Sul Imóveis,Santos,Carolina Mendes,contato50@exemplo.com,imobiliaria,conteudo,seo,87,Automação,R$ 1-3k/mês,parceiro
58,Itanhaém Centro,Itanhaém,Luciana Barros,contato43@exemplo.com,imobiliaria,anuncios,chatbot,86,Relatórios,R$ 1-3k/mês,parceiro
67,Guarujá Blue,Guarujá,Eduardo Pires,contato67@exemplo.com,imobiliaria,conversao,seo,77,SEO local,R$ 0.5-2k/mês,direto
68,Bertioga Riviera,Bertioga,Sofia Almeida,contato68@exemplo.com,gestor,atendimento,avaliacao,69,Relatórios,R$ 1-3k/mês,formal
73,Itanhaém View,Itanhaém,Gustavo Lima,contato73@exemplo.com,imobiliaria,anuncios,chatbot,85,Relatórios,R$ 1-3k/mês,parceiro
118,Bertioga Smart,Bertioga,Ricardo Souza,contato118@exemplo.com,imobiliaria,anuncios,seo,82,SEO local,R$ 1-3k/mês,parceiro
137,Guarujá Zen,Guarujá,Amanda Rocha,contato137@exemplo.com,construtora,conversao,chatbot,51,Relatórios,R$ 0.5-2k/mês,direto
138,Bertioga Premium,Bertioga,André Luiz,contato138@exemplo.com,imobiliaria,anuncios,seo,83,SEO local,R$ 1-3k/mês,parceiro
157,Guarujá Vision,Guarujá,Aline Barros,contato157@exemplo.com,construtora,conversao,chatbot,50,Relatórios,R$ 0.5-2k/mês,direto
158,Bertioga Vision,Bertioga,Ricardo Souza,contato158@exemplo.com,imobiliaria,anuncios,seo,83,SEO local,R$ 1-3k/mês,parceiro
1,Alpha Imóveis Praia,Santos,Carlos Lima,contato1@exemplo.com,construtora,atendimento,seo,40,Relatórios,R$ 0.5-2k/mês,parceiro
17,Região Sul Centro,Bertioga,Fernanda Rocha,contato17@exemplo.com,gestor,atendimento,anuncios,58,Automação,R$ 1-4k/mês,formal
22,Maresias Imóveis,Bertioga,Paulo Ribeiro,contato22@exemplo.com,imobiliaria,atendimento,seo,68,Relatórios,R$ 0.5-2k/mês,direto
27,Mongaguá Atlântica,Mongaguá,Luciana Nunes,contato27@exemplo.com,construtora,conversao,seo,42,Mais conteúdo,R$ 0.5-2k/mês,direto
36,Vila Tupi Imóveis,Praia Grande,Renata Lima,contato36@exemplo.com,gestor,atendimento,chatbot,71,Automação,R$ 0.5-2k/mês,parceiro
44,Baixio Digital,Itanhaém,Ricardo Nunes,contato44@exemplo.com,construtora,leads,avaliacao,48,Aumentar captação,R$ 0.5-2k/mês,formal
49,Jussara Digital,Mongaguá,Ricardo Souza,contato49@exemplo.com,construtora,leads,avaliacao,43,Aumentar captação,R$ 0.5-2k/mês,direto
57,Mongaguá Sul,Mongaguá,Ricardo Nunes,contato42@exemplo.com,construtora,conversao,seo,44,Mais conteúdo,R$ 0.5-2k/mês,direto
65,Barra Peruíbe Sul,Peruíbe,Ricardo Almeida,contato50@exemplo.com,construtora,conteudo,anuncios,74,SEO local,R$ 0.5-2k/mês,direto
72,Mongaguá Beach,Mongaguá,Aline Torres,contato72@exemplo.com,construtora,conversao,seo,41,Mais conteúdo,R$ 0.5-2k/mês,direto
82,Mongaguá Centro,Mongaguá,Lívia Souza,contato82@exemplo.com,construtora,conversao,seo,46,Mais conteúdo,R$ 0.5-2k/mês,direto
90,Barra Norte,Peruíbe,Marcelo Barros,contato90@exemplo.com,construtora,conteudo,anuncios,72,SEO local,R$ 0.5-2k/mês,direto
97,Mongaguá Tropical,Mongaguá,Catarina Lima,contato97@exemplo.com,construtora,conversao,seo,43,Mais conteúdo,R$ 0.5-2k/mês,direto
107,Mongaguá Blue,Mongaguá,Camila Ferreira,contato107@exemplo.com,construtora,conversao,seo,45,Mais conteúdo,R$ 0.5-2k/mês,direto
115,Barra Norte,Peruíbe,Marcelo Almeida,contato115@exemplo.com,construtora,conteudo,anuncios,73,SEO local,R$ 0.5-2k/mês,direto
117,Guarujá Smart,Guarujá,Aline Barros,contato117@exemplo.com,construtora,conversao,chatbot,49,Relatórios,R$ 0.5-2k/mês,direto
127,Mongaguá Relax,Mongaguá,Aline Souza,contato127@exemplo.com,construtora,conversao,seo,47,Mais conteúdo,R$ 0.5-2k/mês,direto
135,Barra Digital,Peruíbe,Fernanda Costa,contato135@exemplo.com,construtora,conteudo,anuncios,75,SEO local,R$ 0.5-2k/mês,direto
147,Mongaguá Executive,Mongaguá,Ricardo Rocha,contato147@exemplo.com,construtora,conversao,seo,44,Mais conteúdo,R$ 0.5-2k/mês,direto
155,Barra Executive,Peruíbe,Fernanda Costa,contato155@exemplo.com,construtora,conteudo,anuncios,73,SEO local,R$ 0.5-2k/mês,direto
167,Mongaguá Blue,Mongaguá,Camila Rocha,contato167@exemplo.com,construtora,conversao,seo,45,Mais conteúdo,R$ 0.5-2k/mês,direto
175,Barra Norte,Peruíbe,Marcelo Almeida,contato175@exemplo.com,construtora,conteudo,anuncios,73,SEO local,R$ 0.5-2k/mês,direto
182,Mongaguá Launch,Mongaguá,Camila Lima,contato182@exemplo.com,construtora,conversao,seo,46,Mais conteúdo,R$ 0.5-2k/mês,direto
192,Mongaguá Platinum,Mongaguá,Ricardo Rocha,contato192@exemplo.com,construtora,conversao,seo,47,Mais conteúdo,R$ 0.5-2k/mês,direto
200,Barra Platinum,Peruíbe,Fernanda Costa,contato200@exemplo.com,construtora,conteudo,anuncios,75,SEO local,R$ 0.5-2k/mês,direto
207,Mongaguá Elite,Mongaguá,Lívia Souza,contato207@exemplo.com,construtora,conversao,seo,48,Mais conteúdo,R$ 0.5-2k/mês,direto
215,Barra Elite,Peruíbe,Marcelo Barros,contato215@exemplo.com,construtora,conteudo,anuncios,76,SEO local,R$ 0.5-2k/mês,direto
2,Região Sul Digital,Mongaguá,Ana Lima,contato2@exemplo.com,construtora,anuncios,anuncios,63,Aumentar captação,R$ 0.5-2k/mês,direto
3,Ocean Blue Digital,Santos,Maria Barros,contato3@exemplo.com,gestor,conversao,seo,42,SEO local,R$ 1-3k/mês,parceiro
12,Norte Sul Site,São Vicente,Luciana Costa,contato12@exemplo.com,gestor,leads,avaliacao,64,Aumentar captação,R$ 0.5-2k/mês,formal
14,Sol & Mar Centro,Bertioga,Fernanda Nunes,contato14@exemplo.com,construtora,anuncios,relatorios,61,Mais conteúdo,R$ 0.5-2k/mês,direto
35,Barra de Peruíbe,Peruíbe,Carlos Almeida,contato35@exemplo.com,construtora,conteudo,anuncios,67,SEO local,R$ 0.5-2k/mês,direto
48,Balneário Conchas,Mongaguá,Fernanda Lima,contato48@exemplo.com,gestor,conversao,chatbot,69,SEO local,R$ 0.5-2k/mês,parceiro
52,Maresias Tech,Bertioga,Juliana Mendes,contato37@exemplo.com,imobiliaria,atendimento,seo,59,Relatórios,R$ 0.5-2k/mês,direto
77,Guarujá Norte Digital,Guarujá,Fábio Rocha,contato77@exemplo.com,imobiliaria,conversao,seo,58,SEO local,R$ 0.5-2k/mês,direto
79,Praia Grande Sul,Praia Grande,Bruno Mendes,contato79@exemplo.com,construtora,anuncios,anuncios,63,Automação,R$ 0.5-2k/mês,parceiro
104,Praia Grande Business,Praia Grande,André Luiz,contato104@exemplo.com,construtora,anuncios,anuncios,62,Automação,R$ 0.5-2k/mês,parceiro
124,Praia Grande Estrutura,Praia Grande,Ricardo Nunes,contato124@exemplo.com,construtora,anuncios,anuncios,64,Automação,R$ 0.5-2k/mês,parceiro
144,Praia Grande Executive,Praia Grande,Fernanda Lima,contato144@exemplo.com,construtora,anuncios,anuncios,62,Automação,R$ 0.5-2k/mês,parceiro
164,Praia Grande Smart,Praia Grande,Ricardo Lima,contato164@exemplo.com,construtora,anuncios,anuncios,61,Automação,R$ 0.5-2k/mês,parceiro
179,Praia Grande Launch,Praia Grande,Ricardo Mendes,contato179@exemplo.com,construtora,anuncios,anuncios,63,Automação,R$ 0.5-2k/mês,parceiro
189,Praia Grande Platinum,Praia Grande,Fernanda Lima,contato189@exemplo.com,construtora,anuncios,anuncios,64,Automação,R$ 0.5-2k/mês,parceiro
204,Praia Grande Elite,Praia Grande,Bruno Mendes,contato204@exemplo.com,construtora,anuncios,anuncios,65,Automação,R$ 0.5-2k/mês,parceiro
219,Praia Grande Prime,Praia Grande,Rodrigo Dias,contato219@exemplo.com,construtora,anuncios,anuncios,66,Automação,R$ 0.5-2k/mês,parceiro
5,Beta Imóveis Praia,São Vicente,Maria Rocha,contato5@exemplo.com,imobiliaria,conversao,chatbot,45,SEO local,R$ 0.5-2k/mês,formal
7,Região Sul Digital,Bertioga,Ricardo Mendes,contato7@exemplo.com,imobiliaria,anuncios,avaliacao,75,Mais conteúdo,R$ 0.5-2k/mês,parceiro
11,Imobiliária Litoral Litoral,Santos,Luciana Mendes,contato11@exemplo.com,corretor,conteudo,anuncios,70,Automação,R$ 1-3k/mês,formal
20,Costa Azul Imóveis,Praia Grande,Amanda Costa,contato20@exemplo.com,construtora,anuncios,anuncios,55,Aumentar captação,R$ 0.5-2k/mês,direto
47,Vila São Paulo,Mongaguá,Paulo Almeida,contato47@exemplo.com,construtora,anuncios,seo,52,Mais conteúdo,R$ 0.5-2k/mês,formal
69,Praia Grande Park,Praia Grande,Marcos Vinícius,contato69@exemplo.com,construtora,anuncios,anuncios,56,Automação,R$ 0.5-2k/mês,parceiro
94,Praia Grande Center,Praia Grande,Rodrigo Dias,contato94@exemplo.com,construtora,anuncios,anuncios,59,Automação,R$ 0.5-2k/mês,parceiro
38,Jardim Rio Branco,São Vicente,Ricardo Costa,contato38@exemplo.com,construtora,anuncios,avaliacao,46,Mais conteúdo,R$ 0.5-2k/mês,formal
70,São Vicente Bay,São Vicente,Bianca Ramos,contato70@exemplo.com,imobiliaria,conteudo,seo,62,Mais conteúdo,R$ 0.5-2k/mês,formal
190,São Vicente Platinum,São Vicente,Carlos Almeida,contato190@exemplo.com,imobiliaria,conteudo,seo,60,Mais conteúdo,R$ 0.5-2k/mês,formal
205,São Vicente Elite,São Vicente,Carla Dias,contato205@exemplo.com,imobiliaria,conteudo,seo,61,Mais conteúdo,R$ 0.5-2k/mês,formal
